Question;Title;QType;Q_1;Q_2;Q_3;Q_4;Q_5;Q_6;Q_7;Q_8;Q_9;Q_10;Answers;Sources;Extra 1
Welche Aussagen beschreiben wesentliche Merkmale der menschzentrierten Gestaltung?;HCD Merkmale;1;Einbeziehen von Benutzern waehrend des gesamten Gestaltungsprozesses;Starres Festhalten an einem einmal erstellten Projektplan;Iteration auf Basis haeufiger Usability-Evaluierung;Ausrichtung auf die gesamte User Experience;Verzicht auf Evaluation bis zum Projektende;;;;;;1 0 1 1 0;;;;
Welche HCD-Ergebnisse entstehen typischerweise beim Verstehen und Festlegen des Nutzungskontextes?;HCD Ergebnisse Nutzungskontext;1;Personas;Low-Fidelity-Prototypen;Ist-Szenarien;Evaluierungsberichte;Aufgabenmodelle;Styleguide;;;;;1 0 1 0 1 0;;;;
Welcher Aspekt der Usability ist primaer verletzt; wenn Benutzer eine benoetigte Stornierungsfunktion nicht finden oder gar nicht haben?;Usability Effektivitaet;2;Effektivitaet;Effizienz;Zufriedenstellung;Barrierefreiheit;;;;;;;1 0 0 0;;;;
Welche Beispiele gehoeren zur Vermeidung von Schaeden durch die Benutzung?;Schadensvermeidung;1;Datenroaming-Warnung mit expliziter Bestaetigung;Kindersicherer Verschluss bei Putzmitteln;Kleine Schrift mit zu geringem Kontrast;Gefaellige Startseite;Deaktivierter Touchscreen waehrend der Fahrt;;;;;;1 1 0 0 1;;;;
Welche Aspekte beeinflussen die User Experience; aber nicht die Usability?;UX statt Usability;1;Als hoch empfundene Preise;Schwierige Navigation im Checkout;Unerwuenschte Marketing-E-Mails nach dem Kauf;Fehlende Fehlertoleranz in der Suche;Qualitaet der physisch gelieferten Blumen;;;;;;1 0 1 0 1;;;;
Welche Komponenten sind fuer den Autofahrer Teil der Benutzungsschnittstelle?;Benutzungsschnittstelle Auto;1;Lenkrad;Batterie;Tuergriff;Motor;Bremspedal;Auspuff;;;;;1 0 1 0 1 0;;;;
Welche Aussage ist KEIN menschzentriertes Qualitaetsziel fuer einen Geldautomaten?;Qualitaetsziele;2;Geld doppelt so schnell abheben koennen;Gefuehl absoluter Privatsphaere bei der Nutzung;Namen des Herstellers doppelt so schnell erkennen koennen;Blinde Benutzer muessen ohne fremde Hilfe Geld abheben koennen;;;;;;;0 0 1 0;;;;
Thomas fuellt regelmaessig den Bargeldbestand eines Geldautomaten auf. Wie ist er einzuordnen?;Benutzertyp Thomas;2;Primaerer Benutzer;Sekundaerer Benutzer;Indirekter Benutzer;Kein Benutzer;;;;;;;0 1 0 0;;;;
Welche Aussagen zur Einordnung von Benutzern sind richtig?;Benutzertypen Reisebuchung;1;Anna die fuer sich und Bernd bucht ist primaere Benutzerin;Bernd der nur die Bordkarte erhaelt ist indirekter Benutzer;David der fuer Carolin direkt im System arbeitet ist primaerer Benutzer;Carolin die nur telefonisch begleitet wird ist indirekte Benutzerin;David ist sekundaerer Benutzer;;;;;;1 1 1 1 0;;;;
Welche Personen sind Interessenvertreter; aber keine Benutzer einer Autovermietungs-Website?;Interessenvertreter;1;Designer der Benutzungsschnittstelle;Marketing-Mitarbeiter mit Website-Aktion;Kunde der ueber das Callcenter reserviert;Callcenter-Mitarbeiter der direkt im System arbeitet;;;;;;;1 1 0 0;;;;
