"Welche drei der folgenden Kriterien sind Teil der Definition von Usability?","2 Grundlegende Begriffe und Konzepte","A Barrierefreiheit | B Effizienz | C Vollständigkeit | D Effektivität | E Zufriedenstellung | F Geschwindigkeit","0 1 0 1 1 0","",""
"Welche eine der folgenden Formulierungen charakterisiert am besten, was menschzentrierte Qualität ist?","2 Grundlegende Begriffe und Konzepte","A Das Ausmaß, in dem die Nutzungsanforderungen erfüllt werden | B Das Ausmaß, in dem die Erfordernisse der Benutzer erfüllt werden | C Der Grad an Usability und User Experience, den das interaktive System erreicht | D Das Ausmaß, in dem Anforderungen bzgl. Usability, User Experience, Barrierefreiheit und Vermeidung von Schäden durch die Benutzung erfüllt werden | E Inwieweit das System von Benutzern als qualitativ ausreichend bewertet wird hinsichtlich der Usability, User Experience, Barrierefreiheit und Vermeidung von Schäden durch die Benutzung | F Das Ausmaß, in dem alle relevanten Nutzungsanforderungen, Marktanforderungen und organisatorischen Anforderungen erfüllt werden","0 0 0 1 0 0","",""
"Welche zwei der folgenden Aspekte beeinflussen die User Experience mit der Website einer Fluggesellschaft, nicht aber die Usability?","2 Grundlegende Begriffe und Konzepte","A Die Bilder auf der Website sind ansprechend. | B Die Gepäckkosten bleiben verborgen, bis der Benutzer seinen Namen eingegeben hat. | C Es ist möglich, ein Ticket zu stornieren und einen Teil des Geldes rückerstattet zu bekommen, aber alle Benutzer haben Schwierigkeiten, herauszufinden, wie sie die Rückerstattung erhalten. | D Die Benutzer empfinden die Preise auf der Website als ziemlich hoch. | E Die Flughafensuche ist nicht fehlertolerant. Zum Beispiel wird bei einer Suche nach »Strassbourg« nicht »Strasbourg« vorgeschlagen. | F Nach dem Flug ärgern sich die Benutzer über unerwünschte Marketing-E-Mails der Fluggesellschaft.","0 0 0 1 0 1","",""
"Welche zwei der folgenden Antworten sind wichtige Richtlinien, die im Zusammenhang mit Barrierefreiheit stehen?","2 Grundlegende Begriffe und Konzepte","A Die »Web Content Accessibility Guidelines« des W3C | B Die »Software Accessibility Guidelines« des W3C | C Die DSGVO | D Der Standard ISO 9241-110 »Barrierefreiheit und Nutzbarkeit der gebauten Umwelt« | E Der Standard ISO 9241-171 »Leitlinien für die Zugänglichkeit von Software« | F Die Barrierefreiheit-Grundsätze der deutschen Wirtschaft","1 0 0 0 1 0","",""
"Welche zwei der folgenden Dinge sind KEINE Unterstützungstechnologien für Barrierefreiheit an einem Bildschirmarbeitsplatz?","2 Grundlegende Begriffe und Konzepte","A Joystick zur Maussteuerung | B Touchscreen (berührungsempfindlicher Bildschirm) | C Lupe | D Erklärungsvideos zur Erläuterung der Funktionsweise einer PCAnwendung | E Screenreader | F Spracherkennungssoftware zum Diktieren von Texten","0 1 0 1 0 0","",""
"Welche zwei der folgenden Aussagen betreffen ausschließlich die User Experience der Website einer Hotelbuchungsplattform und nicht deren Usability?","2 Grundlegende Begriffe und Konzepte","A Die Website ist nicht optimiert für die Nutzung mit alternativen Browsern wie Opera oder Edge. | B Eine ausgestellte Buchungsbestätigung enthält einen QR-Code, der beim Check-in im Hotel gescannt werden kann und dadurch den Checkin-Prozess vereinfacht. | C Die Hotelbuchungsplattform hat den Ruf, die am besten zu benutzende Website von allen Hotelbuchungsplattformen zu haben. | D Der Hotelgast muss im Hotel mit genau dem Zahlungsmittel bezahlen, das in der Onlinebuchung angegeben wurde. Dies wird auf der Website aber nirgendwo erwähnt, was bei manchen Hotelgästen zu Verärgerung führt. | E Die Website verwendet freundliche Farben. | F Die Benutzer der Website finden die Nutzungsbedingungen zwar unverschämt, verwenden die Website aber dennoch, weil sie die niedrigsten Hotelzimmerpreise anbietet.","0 0 1 0 0 1","",""
"Welche zwei der folgenden Antwortmöglichkeiten nennen ein Beispiel für Bestandteile der Benutzungsschnittstelle, die zur Vermeidung von Schäden durch die Benutzung geeignet sind?","2 Grundlegende Begriffe und Konzepte","A Der Text auf einer Website ist klein und hat einen zu geringen Kontrast zum Hintergrund, sodass Benutzer mit einer Sehbehinderung den Text nicht lesen können. | B Das Aussehen und die Qualität der Blumen, die über die Website eines Blumenhändlers bestellt wurden, unterscheiden sich erheblich von den Bildern auf der Website. | C Im Ausland erhalten die Benutzer eine Nachricht auf ihrem Mobiltelefon, die sie über entstehende Datenroaming-Gebühren informiert. | D Auf der Website eines Hotels können die Benutzer die Buchung eines Hotelzimmers stornieren, aber sie finden nicht heraus, wie das geht. | E Die Benutzer geben spontan an, dass ihnen das Aussehen der Startseite einer Hotelwebsite nicht gefällt. | F Putzmittelflaschen haben einen Verschluss, den Kinder nicht öffnen können.","0 0 1 0 0 1","",""
"Benutzer der Website eines Online-Buchhandels machen immer wieder einen bestimmten Fehler im Bestellprozess, wodurch eine falsche Lieferadresse verwendet wird. Die Benutzer erkennen diesen Fehler immer am Ende des Bestellprozesses, müssen den Fehler dann jedoch umständlich korrigieren. Welches eine Kriterium der Definition von Usability nach ISO 9241 wird von dieser Website verletzt?","2 Grundlegende Begriffe und Konzepte","A Effektivität | B Effizienz | C Fehlerfreiheit | D Barrierefreiheit | E Zufriedenstellung | F Geschwindigkeit","0 1 0 0 0 0","",""
"Frank nutzt häufig die Website einer Hotelbuchungsplattform, um für seine Geschäftsreisen Hotels zu buchen. Welcher eine der folgenden Punkte ist ein Ziel von Frank für die Nutzung der Website der Hotelbuchungsplattform bei der Buchung von Geschäftsreisen?","2 Grundlegende Begriffe und Konzepte","A Frank möchte überblicken können, welche 10 Hotels in Berlin bisher die besten Bewertungen von anderen Reisenden erhalten haben. | B Frank überprüft, welche Hotels, die für seine Reise infrage kommen, kostenloses WLAN im Hotelzimmer anbieten. | C Frank will in einem luxuriösen Hotel in Berlin zum Schnäppchenpreis übernachten. | D Frank benötigt eine Rechnung mit ausgewiesener Mehrwertsteuer, um diese bei seinem Arbeitgeber abgeben zu können. | E Frank muss wissen, welche Zahlungsmittel von einem bestimmten Hotel akzeptiert werden, um entscheiden zu können, ob er für dieses Hotel buchen möchte oder nicht. | F Frank möchte für seine nächste Urlaubsreise ein gut bewertetes Resort auf den Malediven buchen.","0 0 1 0 0 0","",""
"Hanna bestellt bei einem Pizzaservice eine Pizza. Hierzu nutzt sie die Website des Pizzaservice. Nachdem sie die Pizza gegessen hat, spricht Hanna mit einem Freund am Telefon über ihre Erfahrungen mit dem Pizzaservice und macht dabei folgende Aussagen: 1. Hanna sagt, die Website des Pizzaservice sei schwer zu benutzen. 2. Hanna hat auf der Startseite der Website gelesen »Stellen Sie Ihre eigene Pizzakreation in nur 60 Sekunden zusammen«. Das fand sie gut und fühlte sich angespornt, ihre selbstkreierte Pizza auch wirklich in dieser Zeit fertig zu konfigurieren. 3. Hanna erzählt, dass sie bei einem Blumenladen kürzlich bei einer Onlinebestellung einen Dankeschön-Gutschein für die nächste Onlinebestellung erhalten hat. Das fand sie gut. 4. Hannas Pizza wurde mit einem falschen Belag geliefert. Dies lag offensichtlich an einem Fehler, den Hanna bei der Benutzung der Website gemacht hatte. 5. Als die Pizza geliefert wurde, war sie schon kalt. Das hat Hanna geärgert. Welche eine der folgenden Kombinationen von Aussagen bezieht sich ausschließlich auf Hannas User Experience mit der Website bzw. dem Pizzaservice und nicht auf die Usability der Website?","2 Grundlegende Begriffe und Konzepte","A Aussagen Nr. 1 und 2 | B Aussagen Nr. 2 und 3 | C Aussagen Nr. 1, 2 und 5 | D Aussagen Nr. 1, 2, 3 und 5 | E Aussagen Nr. 1, 2, 4 und 5 | F Alle fünf Aussagen","0 0 1 0 0 0","",""
"Welche drei der folgenden Komponenten sind Teil der Benutzungsschnittstelle eines Autos?","2 Grundlegende Begriffe und Konzepte","A Gaspedal | B Airbag | C Schalthebel | D Stoßstange | E Anhängerkupplung | F Vergaser","1 0 1 0 1 0","",""
